Entity,Code,Year,CO₂ emissions per capita (per year) (tonnes per year)
Afghanistan,AFG,1950,0
Afghanistan,AFG,1951,0
Afghanistan,AFG,1952,0
Afghanistan,AFG,1953,0
Afghanistan,AFG,1954,0
Afghanistan,AFG,1955,0
Afghanistan,AFG,1956,0.0367
Afghanistan,AFG,1957,0.0367
Afghanistan,AFG,1958,0.0367
Afghanistan,AFG,1959,0.0367
Afghanistan,AFG,1960,0.0367
Afghanistan,AFG,1961,0.0367
Afghanistan,AFG,1962,0.0734
Afghanistan,AFG,1963,0.0734
Afghanistan,AFG,1964,0.0734
Afghanistan,AFG,1965,0.1101
Afghanistan,AFG,1966,0.1101
Afghanistan,AFG,1967,0.1101
Afghanistan,AFG,1968,0.1101
Afghanistan,AFG,1969,0.0734
Afghanistan,AFG,1970,0.1468
Afghanistan,AFG,1971,0.1468
Afghanistan,AFG,1972,0.1101
Afghanistan,AFG,1973,0.1101
Afghanistan,AFG,1974,0.1468
Afghanistan,AFG,1975,0.1468
Afghanistan,AFG,1976,0.1468
Afghanistan,AFG,1977,0.1835
Afghanistan,AFG,1978,0.1468
Afghanistan,AFG,1979,0.1468
Afghanistan,AFG,1980,0.1101
Afghanistan,AFG,1981,0.1468
Afghanistan,AFG,1982,0.1468
Afghanistan,AFG,1983,0.1835
Afghanistan,AFG,1984,0.2202
Afghanistan,AFG,1985,0.2936
Afghanistan,AFG,1986,0.2569
Afghanistan,AFG,1987,0.2569
Afghanistan,AFG,1988,0.2202
Afghanistan,AFG,1989,0.2202
Afghanistan,AFG,1990,0.1835
Afghanistan,AFG,1991,0.1835
Afghanistan,AFG,1992,0.0734
Afghanistan,AFG,1993,0.0734
Afghanistan,AFG,1994,0.0734
Afghanistan,AFG,1995,0.0734
Afghanistan,AFG,1996,0.0734
Afghanistan,AFG,1997,0.0367
Afghanistan,AFG,1998,0.0367
Afghanistan,AFG,1999,0.0367
Afghanistan,AFG,2000,0.0367
Afghanistan,AFG,2001,0.0367
Afghanistan,AFG,2002,0.0367
Afghanistan,AFG,2003,0.0367
Afghanistan,AFG,2004,0.0367
Afghanistan,AFG,2005,0.0367
Afghanistan,AFG,2006,0.0734
Afghanistan,AFG,2007,0.0734
Afghanistan,AFG,2008,0.1468
Afghanistan,AFG,2009,0.2569
Afghanistan,AFG,2010,0.2936
Afghanistan,AFG,2011,0.4404
Afghanistan,AFG,2012,0.367
Afghanistan,AFG,2013,0.3303
Afghanistan,AFG,2014,0.2936
Albania,ALB,1950,0.2569
Albania,ALB,1951,0.3303
Albania,ALB,1952,0.2936
Albania,ALB,1953,0.3303
Albania,ALB,1954,0.367
Albania,ALB,1955,0.4771
Albania,ALB,1956,0.5872
Albania,ALB,1957,1.0276
Albania,ALB,1958,0.8074
Albania,ALB,1959,0.9175
Albania,ALB,1960,1.2478
Albania,ALB,1961,1.3579
Albania,ALB,1962,1.4313
Albania,ALB,1963,1.1744
Albania,ALB,1964,1.101
Albania,ALB,1965,1.1744
Albania,ALB,1966,1.3212
Albania,ALB,1967,1.3579
Albania,ALB,1968,1.5047
Albania,ALB,1969,1.5781
Albania,ALB,1970,1.7616
Albania,ALB,1971,1.9818
Albania,ALB,1972,2.5323
Albania,ALB,1973,2.3121
Albania,ALB,1974,1.835
Albania,ALB,1975,1.9084
Albania,ALB,1976,2.0185
Albania,ALB,1977,2.2754
Albania,ALB,1978,2.5323
Albania,ALB,1979,2.8993
Albania,ALB,1980,1.9451
Albania,ALB,1981,2.6791
Albania,ALB,1982,2.6424
Albania,ALB,1983,2.6791
Albania,ALB,1984,2.7158
Albania,ALB,1985,2.6791
Albania,ALB,1986,2.6424
Albania,ALB,1987,2.3855
Albania,ALB,1988,2.3121
Albania,ALB,1989,2.7525
Albania,ALB,1990,1.6882
Albania,ALB,1991,1.3212
Albania,ALB,1992,0.7707
Albania,ALB,1993,0.734
Albania,ALB,1994,0.6239
Albania,ALB,1995,0.6606
Albania,ALB,1996,0.6606
Albania,ALB,1997,0.5138
Albania,ALB,1998,0.5872
Albania,ALB,1999,0.9542
Albania,ALB,2000,0.9909
Albania,ALB,2001,1.0643
Albania,ALB,2002,1.2111
Albania,ALB,2003,1.3946
Albania,ALB,2004,1.3212
Albania,ALB,2005,1.3579
Albania,ALB,2006,1.2478
Albania,ALB,2007,1.2478
Albania,ALB,2008,1.3946
Albania,ALB,2009,1.5047
Albania,ALB,2010,1.5781
Albania,ALB,2011,1.835
Albania,ALB,2012,1.6882
Albania,ALB,2013,1.7616
Albania,ALB,2014,1.9818
Algeria,DZA,1950,0.4404
Algeria,DZA,1951,0.4771
Algeria,DZA,1952,0.4404
Algeria,DZA,1953,0.4404
Algeria,DZA,1954,0.4404
Algeria,DZA,1955,0.4771
Algeria,DZA,1956,0.5138
Algeria,DZA,1957,0.5505
Algeria,DZA,1958,0.5138
Algeria,DZA,1959,0.5505
Algeria,DZA,1960,0.5872
Algeria,DZA,1961,0.5505
Algeria,DZA,1962,0.5138
Algeria,DZA,1963,0.4771
Algeria,DZA,1964,0.4771
Algeria,DZA,1965,0.5505
Algeria,DZA,1966,0.6973
Algeria,DZA,1967,0.6606
Algeria,DZA,1968,0.6973
Algeria,DZA,1969,0.8441
Algeria,DZA,1970,1.101
Algeria,DZA,1971,1.3212
Algeria,DZA,1972,1.9451
Algeria,DZA,1973,2.5323
Algeria,DZA,1974,2.0552
Algeria,DZA,1975,2.0185
Algeria,DZA,1976,2.3855
Algeria,DZA,1977,2.4589
Algeria,DZA,1978,3.5599
Algeria,DZA,1979,2.4956
Algeria,DZA,1980,3.5232
Algeria,DZA,1981,2.3855
Algeria,DZA,1982,1.9451
Algeria,DZA,1983,2.5323
Algeria,DZA,1984,3.303
Algeria,DZA,1985,3.303
Algeria,DZA,1986,3.3397
Algeria,DZA,1987,3.5966
Algeria,DZA,1988,3.4865
Algeria,DZA,1989,3.2296
Algeria,DZA,1990,3.0461
Algeria,DZA,1991,3.0461
Algeria,DZA,1992,3.0094
Algeria,DZA,1993,3.0461
Algeria,DZA,1994,3.1195
Algeria,DZA,1995,3.3764
Algeria,DZA,1996,3.3764
Algeria,DZA,1997,2.9727
Algeria,DZA,1998,3.5966
Algeria,DZA,1999,3.0461
Algeria,DZA,2000,2.8626
Algeria,DZA,2001,2.7158
Algeria,DZA,2002,2.8626
Algeria,DZA,2003,2.8626
Algeria,DZA,2004,2.7525
Algeria,DZA,2005,3.2663
Algeria,DZA,2006,3.0461
Algeria,DZA,2007,3.1195
Algeria,DZA,2008,3.0828
Algeria,DZA,2009,3.4498
Algeria,DZA,2010,3.303
Algeria,DZA,2011,3.303
Algeria,DZA,2012,3.4865
Algeria,DZA,2013,3.5232
Algeria,DZA,2014,3.7434
Andorra,AND,1990,7.6703
Andorra,AND,1991,7.3767
Andorra,AND,1992,7.0097
Andorra,AND,1993,6.7895
Andorra,AND,1994,6.4225
Andorra,AND,1995,6.5693
Andorra,AND,1996,6.973
Andorra,AND,1997,7.1932
Andorra,AND,1998,7.6703
Andorra,AND,1999,8.0373
Andorra,AND,2000,8.1474
Andorra,AND,2001,7.9272
Andorra,AND,2002,7.707
Andorra,AND,2003,7.4134
Andorra,AND,2004,7.4501
Andorra,AND,2005,7.4134
Andorra,AND,2006,6.8629
Andorra,AND,2007,6.606
Andorra,AND,2008,6.7161
Andorra,AND,2009,6.0555
Andorra,AND,2010,6.1656
Andorra,AND,2011,5.9821
Andorra,AND,2012,6.1656
Andorra,AND,2013,6.2757
Andorra,AND,2014,6.3858
Angola,AGO,1950,0.0367
Angola,AGO,1951,0.0734
Angola,AGO,1952,0.0734
Angola,AGO,1953,0.0734
Angola,AGO,1954,0.0734
Angola,AGO,1955,0.0734
Angola,AGO,1956,0.1101
Angola,AGO,1957,0.1468
Angola,AGO,1958,0.1101
Angola,AGO,1959,0.1101
Angola,AGO,1960,0.1101
Angola,AGO,1961,0.0734
Angola,AGO,1962,0.2202
Angola,AGO,1963,0.2202
Angola,AGO,1964,0.2202
Angola,AGO,1965,0.2202
Angola,AGO,1966,0.2936
Angola,AGO,1967,0.1835
Angola,AGO,1968,0.2936
Angola,AGO,1969,0.4771
Angola,AGO,1970,0.5872
Angola,AGO,1971,0.5505
Angola,AGO,1972,0.734
Angola,AGO,1973,0.7707
Angola,AGO,1974,0.7707
Angola,AGO,1975,0.6606
Angola,AGO,1976,0.4771
Angola,AGO,1977,0.5138
Angola,AGO,1978,0.7707
Angola,AGO,1979,0.734
Angola,AGO,1980,0.6973
Angola,AGO,1981,0.6606
Angola,AGO,1982,0.5505
Angola,AGO,1983,0.5872
Angola,AGO,1984,0.5872
Angola,AGO,1985,0.5138
Angola,AGO,1986,0.5138
Angola,AGO,1987,0.6239
Angola,AGO,1988,0.5138
Angola,AGO,1989,0.5138
Angola,AGO,1990,0.4771
Angola,AGO,1991,0.4771
Angola,AGO,1992,0.4771
Angola,AGO,1993,0.5138
Angola,AGO,1994,0.3303
Angola,AGO,1995,0.9175
Angola,AGO,1996,0.8441
Angola,AGO,1997,0.5872
Angola,AGO,1998,0.5505
Angola,AGO,1999,0.6606
Angola,AGO,2000,0.6973
Angola,AGO,2001,0.6606
Angola,AGO,2002,0.8441
Angola,AGO,2003,0.5872
Angola,AGO,2004,1.1744
Angola,AGO,2005,1.1744
Angola,AGO,2006,1.3212
Angola,AGO,2007,1.4313
Angola,AGO,2008,1.3946
Angola,AGO,2009,1.3579
Angola,AGO,2010,1.3579
Angola,AGO,2011,1.3946
Angola,AGO,2012,1.468
Angola,AGO,2013,1.3946
Angola,AGO,2014,1.4313
Anguilla,AIA,1990,6.2757
Anguilla,AIA,1991,6.0188
Anguilla,AIA,1992,6.1656
Anguilla,AIA,1993,6.973
Anguilla,AIA,1994,6.7528
Anguilla,AIA,1995,6.8996
Anguilla,AIA,1996,7.0464
Anguilla,AIA,1997,6.8996
Anguilla,AIA,1998,7.34
Anguilla,AIA,1999,7.4501
Anguilla,AIA,2000,8.0373
Anguilla,AIA,2001,8.2942
Anguilla,AIA,2002,7.9272
Anguilla,AIA,2003,8.3309
Anguilla,AIA,2004,9.175
Anguilla,AIA,2005,9.5053
Anguilla,AIA,2006,10.3127
Anguilla,AIA,2007,11.4504
Anguilla,AIA,2008,11.2669
Anguilla,AIA,2009,10.8632
Anguilla,AIA,2010,10.9366
Anguilla,AIA,2011,10.1292
Anguilla,AIA,2012,10.0191
Anguilla,AIA,2013,9.4686
Anguilla,AIA,2014,9.7622
Argentina,ARG,1950,1.7616
Argentina,ARG,1951,2.0185
Argentina,ARG,1952,2.0185
Argentina,ARG,1953,1.9451
Argentina,ARG,1954,1.9818
Argentina,ARG,1955,2.0919
Argentina,ARG,1956,2.3121
Argentina,ARG,1957,2.4222
Argentina,ARG,1958,2.202
Argentina,ARG,1959,2.4222
Argentina,ARG,1960,2.3855
Argentina,ARG,1961,2.4589
Argentina,ARG,1962,2.5323
Argentina,ARG,1963,2.3121
Argentina,ARG,1964,2.5323
Argentina,ARG,1965,2.6424
Argentina,ARG,1966,2.7892
Argentina,ARG,1967,2.8626
Argentina,ARG,1968,2.9727
Argentina,ARG,1969,3.2663
Argentina,ARG,1970,3.4498
Argentina,ARG,1971,3.67
Argentina,ARG,1972,3.6333
Argentina,ARG,1973,3.7434
Argentina,ARG,1974,3.7434
Argentina,ARG,1975,3.6333
Argentina,ARG,1976,3.7801
Argentina,ARG,1977,3.7434
Argentina,ARG,1978,3.7801
Argentina,ARG,1979,4.0003
Argentina,ARG,1980,3.8535
Argentina,ARG,1981,3.5599
Argentina,ARG,1982,3.5599
Argentina,ARG,1983,3.5599
Argentina,ARG,1984,3.5599
Argentina,ARG,1985,3.303
Argentina,ARG,1986,3.3764
Argentina,ARG,1987,3.67
Argentina,ARG,1988,3.8168
Argentina,ARG,1989,3.6333
Argentina,ARG,1990,3.4498
Argentina,ARG,1991,3.5232
Argentina,ARG,1992,3.6333
Argentina,ARG,1993,3.4865
Argentina,ARG,1994,3.5599
Argentina,ARG,1995,3.67
Argentina,ARG,1996,3.8168
Argentina,ARG,1997,3.8535
Argentina,ARG,1998,3.8902
Argentina,ARG,1999,4.037
Argentina,ARG,2000,3.8535
Argentina,ARG,2001,3.5966
Argentina,ARG,2002,3.303
Argentina,ARG,2003,3.5599
Argentina,ARG,2004,4.1104
Argentina,ARG,2005,4.1838
Argentina,ARG,2006,4.5141
Argentina,ARG,2007,4.4407
Argentina,ARG,2008,4.771
Argentina,ARG,2009,4.404
Argentina,ARG,2010,4.5508
Argentina,ARG,2011,4.5875
Argentina,ARG,2012,4.5875
Argentina,ARG,2013,4.4774
Argentina,ARG,2014,4.7343
Armenia,ARM,1992,1.6882
Armenia,ARM,1993,0.7707
Armenia,ARM,1994,0.8074
Armenia,ARM,1995,1.0643
Armenia,ARM,1996,0.8074
Armenia,ARM,1997,1.0276
Armenia,ARM,1998,1.0643
Armenia,ARM,1999,0.9909
Armenia,ARM,2000,1.1377
Armenia,ARM,2001,1.1377
Armenia,ARM,2002,0.9909
Armenia,ARM,2003,1.1377
Armenia,ARM,2004,1.1744
Armenia,ARM,2005,1.4313
Armenia,ARM,2006,1.4313
Armenia,ARM,2007,1.6882
Armenia,ARM,2008,1.8717
Armenia,ARM,2009,1.468
Armenia,ARM,2010,1.4313
Armenia,ARM,2011,1.6515
Armenia,ARM,2012,1.9084
Armenia,ARM,2013,1.835
Armenia,ARM,2014,1.835
Aruba,ABW,1986,2.8626
Aruba,ABW,1987,7.2666
Aruba,ABW,1988,10.0191
Aruba,ABW,1989,10.6063
Aruba,ABW,1990,26.3873
Aruba,ABW,1991,26.057
Aruba,ABW,1992,21.4695
Aruba,ABW,1993,22.02
Aruba,ABW,1994,21.0291
Aruba,ABW,1995,20.7722
Aruba,ABW,1996,20.3685
Aruba,ABW,1997,20.4786
Aruba,ABW,1998,20.6988
Aruba,ABW,1999,20.4786
Aruba,ABW,2000,26.3873
Aruba,ABW,2001,26.1304
Aruba,ABW,2002,25.8001
Aruba,ABW,2003,26.4974
Aruba,ABW,2004,26.4607
Aruba,ABW,2005,26.9378
Aruba,ABW,2006,26.4607
Aruba,ABW,2007,27.9287
Aruba,ABW,2008,26.2405
Aruba,ABW,2009,25.9469
Aruba,ABW,2010,24.6991
Aruba,ABW,2011,24.5523
Aruba,ABW,2012,13.1753
Aruba,ABW,2013,8.4043
Aruba,ABW,2014,8.441
Australia,AUS,1950,6.7161
Australia,AUS,1951,7.0464
Australia,AUS,1952,7.0097
Australia,AUS,1953,6.7528
Australia,AUS,1954,7.5602
Australia,AUS,1955,7.6703
Australia,AUS,1956,7.7804
Australia,AUS,1957,7.7437
Australia,AUS,1958,7.8905
Australia,AUS,1959,8.3309
Australia,AUS,1960,8.5878
Australia,AUS,1961,8.6245
Australia,AUS,1962,8.8814
Australia,AUS,1963,9.2851
Australia,AUS,1964,9.7989
Australia,AUS,1965,10.643
Australia,AUS,1966,10.3494
Australia,AUS,1967,10.8632
Australia,AUS,1968,11.0834
Australia,AUS,1969,11.4137
Australia,AUS,1970,11.5972
Australia,AUS,1971,11.7807
Australia,AUS,1972,11.8908
Australia,AUS,1973,12.6982
Australia,AUS,1974,12.5881
Australia,AUS,1975,12.6615
Australia,AUS,1976,12.4046
Australia,AUS,1977,13.212
Australia,AUS,1978,14.0561
Australia,AUS,1979,14.1295
Australia,AUS,1980,15.0103
Australia,AUS,1981,15.4874
Australia,AUS,1982,15.5241
Australia,AUS,1983,14.68
Australia,AUS,1984,15.1938
Australia,AUS,1985,15.2672
Australia,AUS,1986,14.9369
Australia,AUS,1987,15.7076
Australia,AUS,1988,15.7443
Australia,AUS,1989,16.4783
Australia,AUS,1990,15.4507
Australia,AUS,1991,15.1204
Australia,AUS,1992,15.3039
Australia,AUS,1993,15.6709
Australia,AUS,1994,15.5241
Australia,AUS,1995,15.5608
Australia,AUS,1996,16.515
Australia,AUS,1997,16.515
Australia,AUS,1998,16.9187
Australia,AUS,1999,17.1756
Australia,AUS,2000,17.2123
Australia,AUS,2001,16.7719
Australia,AUS,2002,17.4325
Australia,AUS,2003,16.9554
Australia,AUS,2004,17.0655
Australia,AUS,2005,17.1756
Australia,AUS,2006,17.616
Australia,AUS,2007,17.5426
Australia,AUS,2008,17.8362
Australia,AUS,2009,18.1665
Australia,AUS,2010,17.6527
Australia,AUS,2011,17.3958
Australia,AUS,2012,16.9554
Australia,AUS,2013,16.0012
Australia,AUS,2014,15.3039
Austria,AUT,1950,3.0094
Austria,AUT,1951,3.3764
Austria,AUT,1952,3.1929
Austria,AUT,1953,3.1562
Austria,AUT,1954,3.5232
Austria,AUT,1955,4.1838
Austria,AUT,1956,4.0737
Austria,AUT,1957,4.1838
Austria,AUT,1958,4.037
Austria,AUT,1959,4.0003
Austria,AUT,1960,4.3673
Austria,AUT,1961,4.5141
Austria,AUT,1962,4.771
Austria,AUT,1963,5.1747
Austria,AUT,1964,5.3949
